"CASE","gender","education","age","agree","conscientious","extra","neuro","open"
"67031",2,3,34,3.4,4,5,3.6,3.6
"64372",1,4,29,3.6,3.8,2.6,2.8,3
"64192",2,3,20,5.6,3,3.4,6,3.4
"64530",1,4,43,3.2,3.4,3,2.6,3.8
"63059",2,2,26,5,4,4,1,4
"66441",2,3,20,4.8,4,3.4,3,3.4
"64326",2,5,43,4.4,4.2,4.8,2.8,4.2
"64702",1,4,24,3.6,3.8,3.6,2.8,3.6
"66382",2,4,34,3.2,3.8,3.8,2.8,3.6
"62481",1,3,27,4,3.8,3.4,3,3.4
"65405",2,5,29,4.4,4.6,4,4,4.4
"62033",1,2,23,4.2,4.2,4.2,2.4,4.4
"67309",2,4,29,5,3.8,4,5.2,4.6
"65990",2,3,28,4.6,3.2,4.4,2,3.4
"63750",2,4,48,3.6,4,3.4,4.2,3.6
"62983",2,5,34,4.6,3.4,4.2,3.8,3.8
"64661",1,5,67,3.6,3.4,3.6,1,3.8
"63823",1,4,26,4.6,3.4,3.6,2.75,4
"63963",1,1,20,4.4,5,4.2,2.8,3.8
"66245",1,4,24,3.8,4.4,4,3.8,3.2
"63036",2,3,33,5,2.6,3.6,1.4,4
"65224",2,2,21,3.6,4.4,4.8,3.2,3.2
"63672",2,5,39,4.8,3.4,3,2,3.6
"62263",1,3,18,4.6,3.8,3.2,3.4,4.6
"64725",2,3,16,4,4.4,4.4,4.2,4
"62726",2,1,21,4.6,2.8,3.2,2,4
"64689",1,5,25,4,3.4,3.4,3.2,3.4
"67540",2,3,23,3.8,4,3,3.4,3.6
"62347",2,3,21,4.4,4,3.6,4.2,3.4
"67295",1,4,46,4.8,3.8,4.2,2,3.4
"67022",1,3,31,3.8,3.2,3.4,4.2,4.2
"64680",2,3,18,4.2,4.8,4.6,4.2,3.8
"63609",2,1,28,2.6,3.4,3,3.6,2.4
"63931",1,4,22,3.6,4.2,3.6,2.8,3.2
"66645",2,4,37,4.4,4,4,3.4,3.4
"64831",2,4,19,2.4,5.2,4.2,2.8,3.6
"66741",1,3,20,4,4.4,4.2,3.4,4.2
"65223",2,4,22,3.2,4.4,4.2,4.8,3.8
"66807",2,3,25,4.8,3.4,3.8,2.8,4.2
"63361",2,1,24,4.8,3.2,3.6,1.2,3.4
"63849",2,2,48,5,4,4,2.4,3.6
"63042",2,3,26,4.8,3.6,4,3.2,4
"62267",1,2,56,4.6,4,3.8,4,5
"67251",2,3,25,5.4,3.6,4.8,3.6,5
"61967",2,5,34,4.8,3.8,3.8,3.6,4.2
"64891",1,3,19,4.2,4,4.6,5,4
"64025",2,3,38,5,3.6,4,1,4.2
"62520",2,1,39,6,3,4.6,2.25,3
"64001",2,2,40,4.8,4.6,4,3.2,4
"65973",2,3,34,4.2,3.4,3.6,2,3.8
"63112",1,3,30,3.6,3.2,4.2,1.4,3.2
"66419",2,3,39,4.4,3.4,4.2,3.4,3.6
"62797",2,3,23,5,2.6,4,1.2,4.2
"61725",2,3,25,4.2,4,3.6,5.4,3.8
"67485",1,3,21,4.2,4.4,4,1,3.8
"61900",1,4,23,4,4.4,3.8,2.8,4.2
"67552",1,4,27,3.6,3.2,3,2.75,4
"66563",2,5,28,3.6,3.8,4.25,4.4,3.8
"64763",2,5,29,4.4,4,3.6,4.6,4.4
"65532",2,4,23,3.4,3.4,4,3.2,3.8
"61831",2,4,50,3.4,3.8,3.6,1.4,2.8
"65765",1,3,24,4.4,3,4,3.4,4
"65172",2,3,31,4.2,3.4,3.2,3,4.2
"61685",1,3,23,3.8,3,3,3.8,4
"64847",2,2,38,4.2,4.4,4.2,3.6,4.4
"64753",2,3,27,5,3.4,2.2,6,3.4
"63948",2,3,22,4.2,3.6,3,3.8,3.8
"61841",2,4,33,4.8,4.6,3.6,4,4.2
"66077",1,3,21,5.2,4.4,4.6,4.4,4.2
"65995",1,2,47,3.2,3.8,3.2,1.6,3.4
"63791",2,3,29,4.2,3.4,3.4,1.4,3.8
"62397",2,3,42,4.8,4,3.4,1,4
"65440",1,2,20,4,4.6,3.6,3.6,3.6
"66968",2,2,19,3.2,5,3.2,4.8,4.2
"62003",2,4,35,4.8,3.8,4.6,2,3.8
"65335",2,5,48,4.8,4,3.6,3.4,3.4
"61891",1,4,22,4.2,5.2,4.6,2.2,3.8
"63967",1,4,35,4.6,3.6,4,1,3.6
"66982",2,5,45,4.6,3.6,3.4,2.4,3.8
"67287",1,2,33,4.2,3.8,4.8,1,5
"61865",1,5,23,2.2,3.8,3,2.8,4.2
"64141",2,5,45,4.4,4.6,4,3,5.2
"66945",2,5,23,4,3.8,2.6,4,4.2
"63338",2,3,32,3.8,4.2,3.6,3.4,4
"65727",1,4,22,4.6,5.8,4.4,6,5.8
"66474",2,3,23,5.6,4.4,5,4.4,4.8
"64665",2,5,32,4.2,4,3.6,4,3.8
"65437",1,1,20,5.6,4,4,1,2.8
"67225",1,3,44,4.2,3.8,3.4,5,4
"65936",2,4,28,3.8,3.6,4.2,2.4,3.4
"62625",2,3,39,5,3.8,3.8,2.8,4.4
"64297",1,3,39,3,2.8,4,2.5,3
"62939",2,3,18,4.4,3.6,3.8,2.6,3.6
"63856",2,3,27,4.4,3.6,4,4.6,4
"65213",1,3,19,3.6,4.2,5,5.4,4.8
"64345",2,3,19,4,3.6,3,1.6,3.8
"65648",2,4,28,5.5,4,4.2,2,4
"66042",2,5,31,3.8,3.4,2.8,2.8,3.4
"62368",2,5,64,3.8,3.6,3.6,4.6,4
"62715",2,3,27,4.4,4.2,3.4,3.6,4
